dish_name,meal_type,diet_type,component_type,base_portion,base_calories,base_carbs_g,base_protein_g,base_fats_g,unit_type,portion_increment
Idli,breakfast,veg,complete,2 pieces (100g),78,16,2,0.4,discrete,1
Plain Dosa,breakfast,veg,complete,1 piece (80g),133,18,3,5,discrete,1
Masala Dosa,breakfast,veg,complete,1 piece (150g),250,35,5,10,discrete,1
Sambar (breakfast side),breakfast,veg,side,1 bowl (150ml),120,18,6,3,continuous,0.25
Upma,breakfast,veg,complete,1 bowl (200g),250,40,6,7,continuous,0.25
Poha,breakfast,veg,complete,1 bowl (200g),270,45,5,8,continuous,0.25
Aloo Paratha,breakfast,veg,complete,1 piece (100g),260,36,6,10,discrete,1
Plain Paratha,breakfast,veg,complete,1 piece (70g),210,27,4,9,discrete,1
Besan Chilla,breakfast,veg,complete,2 pieces (150g),220,24,10,9,discrete,1
Moong Dal Chilla,breakfast,veg,complete,2 pieces (150g),200,20,12,7,discrete,1
Vegetable Daliya,breakfast,veg,complete,1 bowl (200g),230,40,7,4,continuous,0.25
Oats Porridge,breakfast,veg,complete,1 bowl (200g),190,32,6,4,continuous,0.25
Sprouts Salad,breakfast,veg,side,1 bowl (150g),120,18,8,1,continuous,0.25
Plain Uttapam,breakfast,veg,complete,1 piece (120g),180,28,4,5,discrete,1
Medu Vada,breakfast,veg,complete,2 pieces (100g),200,20,6,11,discrete,1
Rava Idli,breakfast,veg,complete,2 pieces (120g),190,28,5,6,discrete,1
Idiyappam,breakfast,veg,complete,2 pieces (100g),150,32,3,1,discrete,1
Appam,breakfast,veg,complete,2 pieces (120g),210,38,4,4,discrete,1
Dhokla,breakfast,veg,snack,4 pieces (100g),160,24,6,4,discrete,1
Sabudana Khichdi,breakfast,veg,complete,1 bowl (200g),300,50,4,10,continuous,0.25
Misal Pav,breakfast,veg,complete,1 plate (250g),350,45,12,14,continuous,0.25
Paneer Paratha,breakfast,veg,complete,1 piece (130g),320,32,12,16,discrete,1
Stuffed Gobi Paratha,breakfast,veg,complete,1 piece (120g),280,34,7,12,discrete,1
Steamed Rice,lunch_dinner,veg,grain,1 cup (150g),195,43,4,0.4,continuous,0.25
Jeera Rice,lunch_dinner,veg,grain,1 cup (150g),220,40,4,5,continuous,0.25
Chapati,lunch_dinner,veg,grain,1 piece (40g),104,18,3,2.5,discrete,1
Veg Pulao,lunch_dinner,veg,grain,1 bowl (200g),300,50,6,8,continuous,0.25
Curd Rice,lunch_dinner,veg,grain,1 bowl (200g),250,40,7,6,continuous,0.25
Dal Tadka,lunch_dinner,veg,curry,1 bowl (150g),165,20,9,3,continuous,0.25
Dal Makhani,lunch_dinner,veg,curry,1 bowl (150g),280,22,10,16,continuous,0.25
Rajma,lunch_dinner,veg,curry,1 bowl (150g),210,30,10,4,continuous,0.25
Chole,lunch_dinner,veg,curry,1 bowl (150g),245,32,10,5,continuous,0.25
Sambar,lunch_dinner,veg,curry,1 bowl (150g),120,18,6,3,continuous,0.25
Rasam,lunch_dinner,veg,curry,1 bowl (150ml),80,12,3,2,continuous,0.25
Paneer Butter Masala,lunch_dinner,veg,curry,1 bowl (150g),320,12,12,25,continuous,0.25
Palak Paneer,lunch_dinner,veg,curry,1 bowl (150g),260,10,12,18,continuous,0.25
Malai Kofta,lunch_dinner,veg,curry,2 pieces+gravy (180g),350,20,8,26,discrete,1
Kadhi,lunch_dinner,veg,curry,1 bowl (150g),100,12,5,3,continuous,0.25
Aloo Gobi,lunch_dinner,veg,side,1 bowl (150g),120,20,4,3,continuous,0.25
Bhindi Masala,lunch_dinner,veg,side,1 bowl (150g),92,12,3,3,continuous,0.25
Baingan Bharta,lunch_dinner,veg,side,1 bowl (150g),110,14,3,3,continuous,0.25
Mixed Veg Curry,lunch_dinner,veg,side,1 bowl (150g),130,18,4,3,continuous,0.25
Lauki Sabzi,lunch_dinner,veg,side,1 bowl (150g),80,12,2,2,continuous,0.25
Gobi Matar,lunch_dinner,veg,side,1 bowl (150g),120,15,5,3,continuous,0.25
Dum Aloo,lunch_dinner,veg,side,1 bowl (150g),170,24,4,5,continuous,0.25
Veg Biryani,lunch_dinner,veg,complete,1 plate (250g),380,55,8,14,continuous,0.25
Veg Kofta Curry,lunch_dinner,veg,curry,2 pieces+gravy (180g),300,22,6,20,discrete,1
Green Salad,lunch_dinner,veg,side,1 bowl (150g),50,10,2,0.3,continuous,0.25
Curd/Dahi,lunch_dinner,veg,side,1 bowl (100g),60,4,3,3.5,continuous,0.25
Papad (roasted),lunch_dinner,veg,side,1 piece (10g),35,6,2,0.5,discrete,1
Pav Bhaji,lunch_dinner,veg,complete,1 plate (300g),400,50,10,18,continuous,0.25
Samosa,snack,veg,snack,1 piece (60g),150,18,3,8,discrete,1
Kachori,snack,veg,snack,1 piece (60g),180,20,4,10,discrete,1
Sprouts Chaat,snack,veg,snack,1 bowl (150g),130,18,8,2,continuous,0.25
Roasted Chana,snack,veg,snack,1 small bowl (50g),180,27,10,3,continuous,0.25
Fruit Chaat,snack,veg,snack,1 bowl (150g),100,24,2,0.5,continuous,0.25
Peanut Chaat,snack,veg,snack,1 bowl (80g),250,14,10,18,continuous,0.25
Murukku,snack,veg,snack,6 pieces (50g),240,26,4,13,discrete,1
Banana Chips,snack,veg,snack,1 small pack (40g),220,24,1,14,continuous,0.25
Buttermilk (Chaas),snack,veg,beverage,1 glass (200ml),40,4,2,1.5,continuous,0.25
Sweet Lassi,snack,veg,beverage,1 glass (250ml),200,30,6,6,continuous,0.25
Sweet Corn Chaat,snack,veg,snack,1 bowl (150g),140,24,4,3,continuous,0.25
Boiled Corn,snack,veg,snack,1 cup (150g),130,27,4,1.5,continuous,0.25
Roasted Makhana,snack,veg,snack,1 bowl (30g),110,18,3,3,continuous,0.25
Mixed Nuts,snack,veg,snack,small handful (30g),180,6,6,15,continuous,0.25
Khakhra,snack,veg,snack,2 pieces (40g),150,24,4,4,discrete,1
Vegetable Cutlet,snack,veg,snack,2 pieces (100g),200,24,5,9,discrete,1
Bread Pakora,snack,veg,snack,1 piece (80g),220,22,5,13,discrete,1
Paneer Tikka,snack,veg,snack,6 pieces (150g),280,8,18,20,discrete,1
Masala Chai,snack,veg,beverage,1 cup (150ml),80,10,2,3,continuous,0.25
Vada Pav,snack,veg,snack,1 piece (120g),290,40,6,12,discrete,1
Veg Sandwich,snack,veg,complete,1 sandwich (130g),250,35,7,9,continuous,0.25
Kheer,snack,veg,snack,1 bowl (100g),180,28,4,6,continuous,0.25
